#node1	node2	combined_score
ACSL6	LIPG	0.686
NCF2	S100A9	0.701
NCF2	HCK	0.572
NCF2	VAV1	0.897
NCF2	NCF4	0.973
NCF4	RND1	0.505
NCF4	DUOX2	0.79
NCF4	S100A9	0.624
NCF4	SAMSN1	0.512
NCF4	VAV1	0.75
NCF4	NCF2	0.973
NCF4	RND2	0.505
NGFR	LNX1	0.527
NGFR	ROR2	0.645
NLRP13	TCF23	0.505
NPL	PAPP-A	0.587
NR4A1	EGR3	0.511
NTNG2	LXN	0.613
OLFM2	TCF23	0.556
OSM	IL22RA1	0.6
OSM	JAK3	0.73
OSM	CSF3R	0.732
PAPP-A	ADAM12	0.557
PAPP-A	NPL	0.587
PCK2	ENO2	0.946
PIWIL4	LXN	0.55
PLAC8	TPPP3	0.648
PLAUR	PLLP	0.584
PLAUR	MMP25	0.508
PLAUR	ITGA8	0.529
PLAUR	ERBB3	0.538
PLAUR	SERPINB5	0.722
PLAUR	FN1	0.881
PLLP	PLAUR	0.584
PRIMA1	COLQ	0.692
PSMB9	COL11A2	0.52
PTGIR	GNB3	0.707
RAB7B	STXBP2	0.551
RBM47	KLB	0.638
RELN	ITGA8	0.507
REM2	CA10	0.564
RGS1	SLA-DRA	0.644
RNASE1	AHSP	0.533
RND1	NCF4	0.505
RND1	MCOLN2	0.539
RND1	VAV1	0.641
RND2	ROCK2	0.612
RND2	VAV1	0.641
RND2	NCF4	0.505
ROCK2	AGT	0.539
ROCK2	ITGA8	0.548
ROCK2	FN1	0.56
ROCK2	RND2	0.612
ROR2	WNT7A	0.583
ROR2	NGFR	0.645
ROR2	WNT16	0.648
RUNX1	VDR	0.514
RUNX2	VDR	0.73
RYR3	LGALS12	0.556
S100A9	NCF4	0.624
S100A9	NCF2	0.701
SAMSN1	KCNMB1	0.502
SAMSN1	NCF4	0.512
SBSPON	ADAMTS20	0.903
SBSPON	ADAMTS4	0.9
SBSPON	ADAMTS15	0.9
SCD	MLXIPL	0.559
SCG3	COTL1	0.505
SDC1	THBS3	0.67
SDC1	TNFSF13B	0.535
SDC1	COL11A2	0.603
SDC1	FN1	0.969
SERPINB5	PLAUR	0.722
SERPINE3	AGT	0.544
SLA	FGR	0.642
SLA	HCK	0.642
SLA-DRA	DNM1	0.601
SLA-DRA	VAV1	0.612
SLA-DRA	RGS1	0.644
SNCA	FGR	0.649
SNCA	HCK	0.649
SNCA	TLR2	0.703
SOCS3	JAK3	0.943
SOCS3	CSF3R	0.689
STXBP2	RAB7B	0.551
TCF23	OLFM2	0.556
TCF23	NLRP13	0.505
THBS3	SDC1	0.67
THBS3	ITGB4	0.735
THBS3	ITGA8	0.781
TLR2	TYROBP	0.723
TLR2	LGALS3	0.712
TLR2	MYBPH	0.551
TLR2	FN1	0.655
TLR2	IL18	0.698
TLR2	SNCA	0.703
TMEM59L	FAM171B	0.836
TNFSF13B	CD22	0.511
TNFSF13B	SDC1	0.535
TPPP3	CCDC64	0.578
TPPP3	PLAC8	0.648
TUFT1	CA10	0.502
TYROBP	NCF2	0.508
TYROBP	VAV1	0.535
TYROBP	FGR	0.601
TYROBP	TLR2	0.723
TYROBP	C1QA	0.779
TYROBP	HCK	0.816
VAV1	RND1	0.641
VAV1	SLA-DRA	0.612
VAV1	TYROBP	0.535
VAV1	FGR	0.672
VAV1	HCK	0.696
VAV1	JAK3	0.561
VAV1	KLB	0.6
VAV1	FGF16	0.6
VAV1	RND2	0.641
VAV1	NCF4	0.75
VAV1	ERBB3	0.785
VAV1	NCF2	0.897
VDR	RUNX1	0.514
VDR	RUNX2	0.73
VNN2	XPNPEP2	0.513
WNT16	ROR2	0.648
WNT16	WNT7A	0.904
WNT7A	ROR2	0.583
WNT7A	WNT16	0.904
WT1	GATA5	0.582
XKRX	CCDC64	0.601
XPNPEP2	VNN2	0.513
XPNPEP2	LVRN	0.857
