geneName	seedOrExpand	winnerScore
NKD1	S	0
NUPR1	S	0
DUSP5	S	0
SLC17A9	S	0
GMFG	S	0
B2R	E	0.598420285892883
C1QA	E	2.62916718354599
CCDC64	E	0.713873951921999
IGJ	E	0.641601
PAPP-A	E	0.654574756778035
ROCK2	E	1.49179025050814
SLA-DRA	E	1.20297308500166
