finalGeneList,finalScore,expansionPVal,rankingPVal
MLXIPL,0.312481,NaN,0.913
CLDN4,0,NaN,1
HBM,0,NaN,1
MERTK,0.509036545919969,NaN,0.247
CAPG,0.410084414691605,NaN,0.5135
DRC1,0,NaN,1
SDC1,1.87553916863156,NaN,0.3304
OSR1,0,NaN,1
RBM47,0.409399088448905,NaN,0.5157
LNX1,0.32764726376189,NaN,0.8496
TLR2,2.72423059969663,NaN,0.4126
MMRN1,0,NaN,1
SNCA,1.33025104862537,NaN,0.4831
PLAC8,0.400046399326012,NaN,0.5469
MEDAG,0,NaN,1
CCNA1,0,NaN,1
SERPINE3,0.354319918233055,NaN,0.7208
TNFSF13B,0.66036518285761,NaN,0.9488
ROR2,1.25487323786995,NaN,0.6147
EGR3,0.261121,NaN,0.9854
ADAMDEC1,0,NaN,1
STMN4,0,NaN,1
SCARA5,0,NaN,1
BICDL1,0,NaN,1
SGSM1,0,NaN,1
OSM,1.43959915870733,NaN,0.3061
AGT,3.02757706284365,NaN,0.5838
CYP26A1,0,NaN,1
SCD,0.312481,NaN,0.916
ADAM12,0.31743631728552,NaN,0.898
ITGA8,2.95154464541224,NaN,0.1832
OTUD1,0,NaN,1
PFKFB3,0,NaN,1
FAM198A,0,NaN,1
CIDEC,0.736164,NaN,0.0372
NFKBIZ,0,NaN,1
XKRX,0.363495254676421,NaN,0.6733
PIH1D3,0,NaN,1
XPNPEP2,0.96563530009504,NaN,0.3207
L1CAM,0.291259915512409,NaN,0.953
AVPR2,0.483251892680885,NaN,0.3032
EPS8L2,0.343180844600414,NaN,0.7807
TMEM151A,0,NaN,1
LGALS12,0.309136,NaN,0.9248
MYRF,0,NaN,1
VWCE,0,NaN,1
WT1,0.362836552859535,NaN,0.6785
ABCC8,0,NaN,1
C3,0.665625447810129,NaN,0.0936
VAV1,5.27457556158713,NaN,0.5501
STXBP2,0.303601,NaN,0.9398
C19orf38,0,NaN,1
JAK3,3.50428132796103,NaN,0.1241
TMEM59L,0.698896,NaN,0.0651
GFPT2,0,NaN,1
NR2F1,0,NaN,1
LVRN,0.623610437531789,NaN,0.1423
SLC27A6,0,NaN,1
ADAMTS19,0,NaN,1
ACSL6,0.470596,NaN,0.3477
STK32A,0,NaN,1
PIWIL4,0.317592772085018,NaN,0.8912
DIXDC1,0,NaN,1
IL18,1.27434918324417,NaN,0.5726
ST14,0,NaN,1
ADAMTS15,2.26336485076115,NaN,0.0002
FMOD,0.905328543739049,NaN,0.4316
RELN,0.336372420227369,NaN,0.8022
NRCAM,0,NaN,1
NCF2,3.06771655468351,NaN,0.1085
LYPD6B,0,NaN,1
HTRA4,0,NaN,1
FN1,6.17485611430288,NaN,0.0318
MREG,0,NaN,1
IQCA1,0,NaN,1
SNED1,0,NaN,1
WDR86,0,NaN,1
TMEM176A,0,NaN,1
WNT16,1.08320188874427,NaN,0.1527
GPR85,0,NaN,1
LRRN3,0,NaN,1
KCNMB1,0.298552402859333,NaN,0.9453
SLC36A2,0,NaN,1
EVPL,0,NaN,1
ITGB4,2.25487249960847,NaN,0.0444
SLC16A6,0,NaN,1
MEOX1,0,NaN,1
KRT14,0,NaN,1
NGFR,0.748248319966368,NaN,0.7681
DNAH2,0,NaN,1
ERBB3,3.42823886356465,NaN,0.9512
VDR,0.784486271373328,NaN,0.6846
LXN,0.677196297391134,NaN,0.9208
MMP25,1.14788157995302,NaN,0.7978
NPL,0.337174925936445,NaN,0.8019
COCH,0,NaN,1
FGF16,1.16214402925444,NaN,0.7775
CRMP1,0,NaN,1
CA10,0.862795891985327,NaN,0.9998
GPM6A,0,NaN,1
SLC2A6,0,NaN,1
NLRP13,0.266212617172759,NaN,0.9776
ANO9,0,NaN,1
CIDEA,0.736164,NaN,0.0362
RCN3,0,NaN,1
ISG20,0,NaN,1
LRRN4CL,0,NaN,1
FAM171B,0.698896,NaN,0.0688
MCTP1,0,NaN,1
PYY,0,NaN,1
CSF3R,1.99258540264476,NaN,0.2007
KLB,1.55125780860218,NaN,0.8195
DDX3Y,0,NaN,1
ACSM5,0,NaN,1
PTGIR,0.478262185301716,NaN,0.3176
BDKRB2,0,NaN,1
TCF23,0.563458027088521,NaN,0.9982
OLFM2,0.297350855738721,NaN,0.948
GABBR2,0.414346622387936,NaN,0.5039
GAL3ST3,0,NaN,1
ZBTB7C,0,NaN,1
IL1R2,0.417084433772603,NaN,0.4969
ENO2,0.894916,NaN,0.0055
RARRES1,0,NaN,1
MYLK4,0,NaN,1
COLQ,0.478864,NaN,0.3254
LGI2,0,NaN,1
BCAT1,0,NaN,1
MZB1,0.641601,NaN,0.1193
FOXC2,0,NaN,1
RND2,1.14254956757174,NaN,0.8066
RASGEF1B,0,NaN,1
GPRC5A,0,NaN,1
BMPR1B,0,NaN,1
LGR5,0,NaN,1
MYBPH,0.361199081560575,NaN,0.6987
ACKR2,0,NaN,1
LMOD1,0,NaN,1
GLIPR2,0,NaN,1
NR4A1,0.261121,NaN,0.9897
NRSN2,0,NaN,1
FOSB,0,NaN,1
RNASE1,0.284089,NaN,0.9643
DOK3,0,NaN,1
MAPK8IP2,0,NaN,1
C12orf75,0,NaN,1
TSHR,0,NaN,1
REM2,0.304943473706639,NaN,0.9315
EPHX4,0,NaN,1
CPZ,0,NaN,1
RSPO1,0,NaN,1
GPNMB,0,NaN,1
RGS1,0.416818621178889,NaN,0.4829
PLAUR,2.53227847804716,NaN,0.6608
GLRB,0,NaN,1
CD163,0,NaN,1
IRF4,0,NaN,1
ST6GALNAC5,0,NaN,1
RYR3,0.309136,NaN,0.9213
GPR68,0,NaN,1
HAPLN4,0,NaN,1
JCHAIN,0,NaN,1
RARRES2,0,NaN,1
SEZ6,0,NaN,1
RUNX1,0.315145518098159,NaN,0.9038
ERRFI1,0,NaN,1
TPPP3,0.750247894075569,NaN,0.7656
LYPD2,0,NaN,1
SHMT1,0,NaN,1
RAB7B,0.303601,NaN,0.9355
FAM180A,0,NaN,1
WAS,0,NaN,1
CLEC11A,0,NaN,1
SOCS3,1.16971002679318,NaN,0.0784
PCDHB7,0,NaN,1
COTL1,0.702839189872453,NaN,0.8682
AHSP,0.284089,NaN,0.9651
RCVRN,0,NaN,1
B3GALT5,0,NaN,1
SAMSN1,0.619644546753698,NaN,0.9864
BHLHA15,0,NaN,1
RND1,1.07102549784755,NaN,0.914
ADAMTS18,0,NaN,1
IL22RA1,1.01166062582857,NaN,0.2579
CEMIP,0,NaN,1
WNT7A,1.03361212299086,NaN,0.2154
GAS7,0,NaN,1
SLCO4A1,0,NaN,1
C1S,0,NaN,1
UCK2,0,NaN,1
NKD1,0,NaN,1
NUPR1,0,NaN,1
DUSP5,0,NaN,1
SLC17A9,0,NaN,1
GMFG,0,NaN,1
C1QA,2.62916718354599,0.998020598808419,0.0942
ROCK2,1.49179025050814,0.805625976185663,0.8896
SLA-DRA,1.20297308500166,0.927624795771445,0.7018
B2R,0.598420285892883,0.999962936435788,0.1647
CCDC64,0.713873951921999,0.925941552762799,0.856
IGJ,0.641601,0.971467056798625,0.1235
PAPP-A,0.654574756778035,0.997464765155453,0.9553
